Site_ID,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Ecoregion_Name,Exposure,Turbidity,Cyclone_Frequency,Date_Month,Date_Year,Percent_Bleaching,Temperature_Mean,Windspeed,SSTA,SSTA_DHW,TSA,TSA_DHWMean,Date,Bleaching_Severity_Int,Thermal_Stress_Index,Bleaching_Impact,Wind_Mitigation,Bleaching_Duration_weeks
691,-14.37,-170.77,Pacific,Samoa Tuvalu and Tonga,Exposed,0.023,65.79,3,2001,5.5,301.42,3.0,0.27,4.04,0.22,0.83,15-03-2001,1.0,0.48747014479773076,0.19498805791909232,0.7999999999999999,2
692,-14.28,-170.72,Pacific,Samoa Tuvalu and Tonga,Sheltered,0.0245,52.54,3,2001,5.5,301.54,3.0,0.21,0.98,0.21,0.56,15-03-2001,1.0,0.4719557023436332,0.1887822809374533,0.7999999999999999,2
693,-14.255,-170.63,Pacific,Samoa Tuvalu and Tonga,Sheltered,0.0266,52.54,3,2001,5.5,301.45,3.0,-0.1,1.12,-0.1,0.52,15-03-2001,1.0,0.4591058366920434,0.18364233467681737,0.7999999999999999,2
702,-18.7264,147.5392,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0592,48.71,4,1998,5.5,299.21,5.0,1.38,3.66,-0.61,0.26,15-04-1998,1.0,0.451008919241677,0.18040356769667082,0.6,2
703,-18.6973,147.1002,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0546,43.31,4,1998,5.5,299.18,4.0,1.34,8.08,-0.93,0.35,15-04-1998,1.0,0.47375802358561037,0.18950320943424415,0.7,2
704,-18.6606,147.7102,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0508,44.87,4,1998,5.5,299.26,5.0,1.22,3.16,-0.47,0.3,15-04-1998,1.0,0.4442928048962528,0.17771712195850112,0.6,2
705,-18.5659,147.4941,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0546,43.68,4,1998,5.5,299.33,5.0,1.41,2.14,-0.5,0.31,15-04-1998,1.0,0.4473479250634415,0.17893917002537663,0.6,2
706,-18.4804,146.8729,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0583,42.0,4,1998,5.5,299.26,5.0,0.8,7.6,-1.52,0.36,15-04-1998,1.0,0.45503731900283595,0.18201492760113439,0.6,2
707,-18.4667,146.9833,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0579,42.0,4,1998,5.5,299.25,5.0,0.83,5.95,-1.29,0.35,15-04-1998,1.0,0.4463683945364981,0.17854735781459927,0.6,2
708,-18.4336,146.9907,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0666,42.0,4,1998,5.5,299.29,5.0,0.74,5.56,-1.3,0.35,15-04-1998,1.0,0.44236266606956376,0.1769450664278255,0.6,2
709,-18.4091,146.7066,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1039,41.79,4,1998,5.5,299.24,5.0,1.03,8.2,-1.28,0.43,15-04-1998,1.0,0.4657206299447684,0.18628825197790738,0.6,2
711,-18.2683,147.3862,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0401,36.54,4,1998,5.5,299.55,5.0,0.82,3.36,-0.96,0.4,15-04-1998,1.0,0.4411598746081508,0.17646394984326033,0.6,2
